year_month,year,month,month_name,total_nights,tropical_nights,tropical_pct,avg_min_temp
2019-01,2019,1,Jan,31,0,0.0,16.3
2019-02,2019,2,Feb,28,0,0.0,18.6
2019-03,2019,3,Mar,31,0,0.0,18.4
2019-04,2019,4,Apr,30,0,0.0,19.6
2019-05,2019,5,May,31,1,3.2,19.7
2019-06,2019,6,Jun,30,14,46.7,24.6
2019-07,2019,7,Jul,31,2,6.5,23.3
2019-08,2019,8,Aug,31,11,35.5,24.8
2019-09,2019,9,Sep,30,27,90.0,26.4
2019-10,2019,10,Oct,31,18,58.1,25.4
2019-11,2019,11,Nov,30,1,3.3,20.7
2019-12,2019,12,Dec,31,0,0.0,18.3
2020-01,2020,1,Jan,31,0,0.0,17.5
2020-02,2020,2,Feb,29,3,10.3,20.9
2020-03,2020,3,Mar,31,0,0.0,19.7
2020-04,2020,4,Apr,30,4,13.3,21.2
2020-05,2020,5,May,31,2,6.5,21.6
2020-06,2020,6,Jun,30,8,26.7,24.3
2020-07,2020,7,Jul,31,9,29.0,24.4
2020-08,2020,8,Aug,31,28,90.3,26.2
2020-09,2020,9,Sep,30,29,96.7,27.0
2020-10,2020,10,Oct,31,21,67.7,26.3
2020-11,2020,11,Nov,30,1,3.3,22.0
2020-12,2020,12,Dec,31,0,0.0,18.1
2021-01,2021,1,Jan,31,0,0.0,18.7
2021-02,2021,2,Feb,28,0,0.0,17.9
2021-03,2021,3,Mar,31,0,0.0,19.4
2021-04,2021,4,Apr,30,4,13.3,21.5
2021-05,2021,5,May,31,4,12.9,21.4
2021-06,2021,6,Jun,30,8,26.7,23.8
2021-07,2021,7,Jul,31,0,0.0,23.2
2021-08,2021,8,Aug,31,26,83.9,26.1
2021-09,2021,9,Sep,30,27,90.0,26.6
2021-10,2021,10,Oct,31,17,54.8,25.1
2021-11,2021,11,Nov,30,2,6.7,22.5
2021-12,2021,12,Dec,31,0,0.0,19.9
2022-01,2022,1,Jan,31,0,0.0,20.1
2022-02,2022,2,Feb,28,1,3.6,19.7
2022-03,2022,3,Mar,31,0,0.0,18.0
2022-04,2022,4,Apr,30,0,0.0,19.4
2022-05,2022,5,May,31,7,22.6,21.7
2022-06,2022,6,Jun,30,10,33.3,24.1
2022-07,2022,7,Jul,31,10,32.3,24.1
2022-08,2022,8,Aug,31,25,80.6,25.7
2022-09,2022,9,Sep,30,26,86.7,26.8
2022-10,2022,10,Oct,31,14,45.2,25.0
2022-11,2022,11,Nov,30,0,0.0,20.4
2022-12,2022,12,Dec,31,0,0.0,19.1
2023-01,2023,1,Jan,31,0,0.0,17.6
2023-02,2023,2,Feb,28,0,0.0,18.3
2023-03,2023,3,Mar,31,0,0.0,20.9
2023-04,2023,4,Apr,30,2,6.7,20.8
2023-05,2023,5,May,31,3,9.7,22.3
2023-06,2023,6,Jun,30,6,20.0,23.6
2023-07,2023,7,Jul,31,24,77.4,25.5
2023-08,2023,8,Aug,31,26,83.9,26.0
2023-09,2023,9,Sep,30,30,100.0,27.3
2023-10,2023,10,Oct,31,21,67.7,25.7
2023-11,2023,11,Nov,30,5,16.7,21.7
2023-12,2023,12,Dec,31,0,0.0,18.3
2024-01,2024,1,Jan,31,0,0.0,18.5
2024-02,2024,2,Feb,29,0,0.0,20.2
2024-03,2024,3,Mar,31,0,0.0,19.5
2024-04,2024,4,Apr,30,3,10.0,21.9
2024-05,2024,5,May,31,2,6.5,21.9
2024-06,2024,6,Jun,30,7,23.3,23.0
2024-07,2024,7,Jul,31,4,12.9,24.1
2024-08,2024,8,Aug,31,24,77.4,25.8
2024-09,2024,9,Sep,30,14,46.7,25.1
2024-10,2024,10,Oct,31,22,71.0,25.8
2024-11,2024,11,Nov,30,0,0.0,22.3
2024-12,2024,12,Dec,31,2,6.5,20.0
2025-01,2025,1,Jan,31,0,0.0,17.7
2025-02,2025,2,Feb,28,0,0.0,18.9
2025-03,2025,3,Mar,31,1,3.2,19.6
2025-04,2025,4,Apr,30,4,13.3,22.1
2025-05,2025,5,May,31,6,19.4,23.4
2025-06,2025,6,Jun,30,6,20.0,23.6
2025-07,2025,7,Jul,31,4,12.9,24.3
2025-08,2025,8,Aug,31,28,90.3,26.2
2025-09,2025,9,Sep,30,28,93.3,27.3
2025-10,2025,10,Oct,31,23,74.2,26.5
2025-11,2025,11,Nov,30,5,16.7,23.2
2025-12,2025,12,Dec,30,0,0.0,17.1
