start_date,end_date,length,year,start_month
2023-08-10,2023-10-20,71,2023,8
2021-08-11,2021-09-23,43,2021,8
2020-08-20,2020-09-28,39,2020,8
2025-08-04,2025-09-06,33,2025,8
2019-08-27,2019-09-28,32,2019,8
2025-09-07,2025-09-30,23,2025,9
2022-08-13,2022-08-30,17,2022,8
2022-09-02,2022-09-17,15,2022,9
2020-10-12,2020-10-25,13,2020,10
2024-08-25,2024-09-04,10,2024,8
2025-10-21,2025-10-31,10,2025,10
2024-10-07,2024-10-16,9,2024,10
2020-08-11,2020-08-19,8,2020,8
2021-10-02,2021-10-10,8,2021,10
2022-07-22,2022-07-30,8,2022,7
2023-07-03,2023-07-11,8,2023,7
2024-09-28,2024-10-06,8,2024,9
2025-10-08,2025-10-16,8,2025,10
2022-08-05,2022-08-12,7,2022,8
2022-09-23,2022-09-30,7,2022,9
2024-08-13,2024-08-20,7,2024,8
2020-07-31,2020-08-06,6,2020,7
2021-10-15,2021-10-21,6,2021,10
2023-07-17,2023-07-23,6,2023,7
2023-07-26,2023-08-01,6,2023,7
2019-06-15,2019-06-20,5,2019,6
2019-06-25,2019-06-30,5,2019,6
2021-06-03,2021-06-08,5,2021,6
2021-08-03,2021-08-08,5,2021,8
2021-09-25,2021-09-30,5,2021,9
2022-05-13,2022-05-18,5,2022,5
2022-05-31,2022-06-05,5,2022,5
2022-10-02,2022-10-07,5,2022,10
2024-10-17,2024-10-22,5,2024,10
2025-10-02,2025-10-07,5,2025,10
2019-10-10,2019-10-14,4,2019,10
2019-10-15,2019-10-19,4,2019,10
2020-09-29,2020-10-03,4,2020,9
2020-10-06,2020-10-10,4,2020,10
2022-09-18,2022-09-22,4,2022,9
2023-07-12,2023-07-16,4,2023,7
2023-08-02,2023-08-06,4,2023,8
2024-08-08,2024-08-12,4,2024,8
2024-09-20,2024-09-24,4,2024,9
2025-11-01,2025-11-05,4,2025,11
2019-06-08,2019-06-11,3,2019,6
2019-10-26,2019-10-29,3,2019,10
2020-04-29,2020-05-02,3,2020,4
2020-07-27,2020-07-30,3,2020,7
2020-08-07,2020-08-10,3,2020,8
2021-04-11,2021-04-14,3,2021,4
2021-06-22,2021-06-25,3,2021,6
2022-06-16,2022-06-19,3,2022,6
2022-06-23,2022-06-26,3,2022,6
2022-10-10,2022-10-13,3,2022,10
2022-10-16,2022-10-19,3,2022,10
2023-06-09,2023-06-12,3,2023,6
2023-11-01,2023-11-04,3,2023,11
2024-06-11,2024-06-14,3,2024,6
2024-08-02,2024-08-05,3,2024,8
2024-08-21,2024-08-24,3,2024,8
2025-04-24,2025-04-27,3,2025,4
2025-05-26,2025-05-29,3,2025,5
2025-06-03,2025-06-06,3,2025,6
2025-06-08,2025-06-11,3,2025,6
2025-07-27,2025-07-30,3,2025,7
2019-08-14,2019-08-16,2,2019,8
2019-08-24,2019-08-26,2,2019,8
2019-10-02,2019-10-04,2,2019,10
2019-10-07,2019-10-09,2,2019,10
2019-10-23,2019-10-25,2,2019,10
2020-02-24,2020-02-26,2,2020,2
2020-06-17,2020-06-19,2,2020,6
2020-06-21,2020-06-23,2,2020,6
2020-07-12,2020-07-14,2,2020,7
2020-07-21,2020-07-23,2,2020,7
2021-10-24,2021-10-26,2,2021,10
2023-05-28,2023-05-30,2,2023,5
2023-06-21,2023-06-23,2,2023,6
2023-10-25,2023-10-27,2,2023,10
2023-11-18,2023-11-20,2,2023,11
2024-04-13,2024-04-15,2,2024,4
2024-06-20,2024-06-22,2,2024,6
2024-06-27,2024-06-29,2,2024,6
2024-07-23,2024-07-25,2,2024,7
2024-09-09,2024-09-11,2,2024,9
2024-09-25,2024-09-27,2,2024,9
2024-10-24,2024-10-26,2,2024,10
2024-12-14,2024-12-16,2,2024,12
2025-05-21,2025-05-23,2,2025,5
2019-05-07,2019-05-08,1,2019,5
2019-06-04,2019-06-05,1,2019,6
2019-07-13,2019-07-14,1,2019,7
2019-07-23,2019-07-24,1,2019,7
2019-08-02,2019-08-03,1,2019,8
2019-08-22,2019-08-23,1,2019,8
2019-10-05,2019-10-06,1,2019,10
2019-11-04,2019-11-05,1,2019,11
2020-02-17,2020-02-18,1,2020,2
2020-04-06,2020-04-07,1,2020,4
2020-04-11,2020-04-12,1,2020,4
2020-05-27,2020-05-28,1,2020,5
2020-06-06,2020-06-07,1,2020,6
2020-06-10,2020-06-11,1,2020,6
2020-06-14,2020-06-15,1,2020,6
2020-06-28,2020-06-29,1,2020,6
2020-07-24,2020-07-25,1,2020,7
2020-10-26,2020-10-27,1,2020,10
2020-10-28,2020-10-29,1,2020,10
2020-11-07,2020-11-08,1,2020,11
2021-04-03,2021-04-04,1,2021,4
2021-05-11,2021-05-12,1,2021,5
2021-05-13,2021-05-14,1,2021,5
2021-05-18,2021-05-19,1,2021,5
2021-05-29,2021-05-30,1,2021,5
2021-10-31,2021-11-01,1,2021,10
2021-11-10,2021-11-11,1,2021,11
2021-11-21,2021-11-22,1,2021,11
2022-02-01,2022-02-02,1,2022,2
2022-05-11,2022-05-12,1,2022,5
2022-07-02,2022-07-03,1,2022,7
2022-07-18,2022-07-19,1,2022,7
2022-08-01,2022-08-02,1,2022,8
2022-10-22,2022-10-23,1,2022,10
2022-10-25,2022-10-26,1,2022,10
2022-10-28,2022-10-29,1,2022,10
2023-04-02,2023-04-03,1,2023,4
2023-04-15,2023-04-16,1,2023,4
2023-05-04,2023-05-05,1,2023,5
2023-06-24,2023-06-25,1,2023,6
2024-04-03,2024-04-04,1,2024,4
2024-05-25,2024-05-26,1,2024,5
2024-05-27,2024-05-28,1,2024,5
2024-07-09,2024-07-10,1,2024,7
2024-07-21,2024-07-22,1,2024,7
2024-10-31,2024-11-01,1,2024,10
2025-03-17,2025-03-18,1,2025,3
2025-04-29,2025-04-30,1,2025,4
2025-05-14,2025-05-15,1,2025,5
2025-07-22,2025-07-23,1,2025,7
2025-11-30,2025-12-01,1,2025,11
